TOK,100.00,RUN
NER P,71.61,NER_01
NER R,62.50,NER_01
NER F,66.74,NER_01
SPEED,23865,NER_01
NER P,71.46,NER_02
NER R,58.78,NER_02
NER F,64.50,NER_02
SPEED,27697,NER_02
NER P,71.61,NER_03
NER R,62.50,NER_03
NER F,66.74,NER_03
SPEED,26136,NER_03
NER P,71.46,NER_04
NER R,58.78,NER_04
NER F,64.50,NER_04
SPEED,27388,NER_04
NER P,77.29,NER_05
NER R,67.60,NER_05
NER F,72.12,NER_05
SPEED,30551,NER_05
NER P,71.99,NER_06
NER R,66.39,NER_06
NER F,69.08,NER_06
SPEED,29150,NER_06
NER P,72.40,NER_07
NER R,67.78,NER_07
NER F,70.01,NER_07
SPEED,29668,NER_07
NER P,75.95,NER_08
NER R,63.62,NER_08
NER F,69.24,NER_08
SPEED,29159,NER_08
NER P,75.96,NER_09
NER R,62.50,NER_09
NER F,68.58,NER_09
SPEED,27054,NER_09